"frequency";"r S[6,6]";"i S[6,6]"
1.18929e+09;-0.201663;0.944847
1.19059e+09;-0.197832;0.94532
1.19189e+09;-0.194028;0.945834
1.19319e+09;-0.190201;0.946336
1.19449e+09;-0.186315;0.946828
1.1958e+09;-0.182376;0.947244
1.1971e+09;-0.178428;0.947678
1.1984e+09;-0.174473;0.94812
1.1997e+09;-0.17047;0.948475
1.201e+09;-0.166411;0.948877
1.2023e+09;-0.162346;0.949222
1.2036e+09;-0.158226;0.949553
1.2049e+09;-0.154076;0.949857
1.20621e+09;-0.149909;0.950148
1.20751e+09;-0.145694;0.950445
1.20881e+09;-0.141435;0.950678
1.21011e+09;-0.13714;0.950902
1.21141e+09;-0.132839;0.951073
1.21271e+09;-0.128477;0.951289
1.21401e+09;-0.124094;0.951458
1.21532e+09;-0.119657;0.951546
1.21662e+09;-0.115174;0.951624
1.21792e+09;-0.110679;0.951712
1.21922e+09;-0.106097;0.951737
1.22052e+09;-0.101526;0.951752
1.22182e+09;-0.0968407;0.951684
1.22312e+09;-0.0921684;0.951683
1.22442e+09;-0.0874567;0.951551
1.22573e+09;-0.082658;0.951416
1.22703e+09;-0.0778382;0.951234
1.22833e+09;-0.0729063;0.951025
1.22963e+09;-0.0680537;0.950809
1.23093e+09;-0.0630097;0.950477
1.23223e+09;-0.0579812;0.950179
1.23353e+09;-0.0529222;0.949832
1.23483e+09;-0.0477875;0.949377
1.23614e+09;-0.0425932;0.948907
1.23744e+09;-0.0373474;0.94841
1.23874e+09;-0.0320916;0.947803
1.24004e+09;-0.0267208;0.947175
1.24134e+09;-0.0212711;0.94647
1.24264e+09;-0.0158566;0.945669
1.24394e+09;-0.0102851;0.944864
1.24525e+09;-0.00466991;0.944009
1.24655e+09;0.000934727;0.94308
1.24785e+09;0.00666219;0.942033
1.24915e+09;0.0124717;0.940939
1.25045e+09;0.0183308;0.939817
1.25175e+09;0.024251;0.93851
1.25305e+09;0.0301905;0.937114
1.25435e+09;0.0363083;0.935723
1.25566e+09;0.042394;0.934079
1.25696e+09;0.0486233;0.932448
1.25826e+09;0.0549174;0.930681
1.25956e+09;0.0612762;0.928842
1.26086e+09;0.0677043;0.926829
1.26216e+09;0.0742675;0.92467
1.26346e+09;0.0807955;0.922398
1.26476e+09;0.087499;0.920018
1.26607e+09;0.0942037;0.917427
1.26737e+09;0.101009;0.914718
1.26867e+09;0.107928;0.911889
1.26997e+09;0.114928;0.908818
1.27127e+09;0.122095;0.905523
1.27257e+09;0.129125;0.902152
1.27387e+09;0.136402;0.898374
1.27518e+09;0.143713;0.894423
1.27648e+09;0.151082;0.890256
1.27778e+09;0.158484;0.885807
1.27908e+09;0.1659;0.881233
1.28038e+09;0.173504;0.876137
1.28168e+09;0.181124;0.870783
1.28298e+09;0.188769;0.865303
1.28428e+09;0.196452;0.859187
1.28559e+09;0.204253;0.852869
1.28689e+09;0.211946;0.846019
1.28819e+09;0.219668;0.838711
1.28949e+09;0.227337;0.83107
1.29079e+09;0.234968;0.822833
1.29209e+09;0.242461;0.814122
1.29339e+09;0.249785;0.804829
1.29469e+09;0.256972;0.794762
1.296e+09;0.264015;0.784441
1.2973e+09;0.270923;0.773121
1.2986e+09;0.276988;0.760959
1.2999e+09;0.283074;0.748439
1.3012e+09;0.288478;0.734982
1.3025e+09;0.293374;0.720811
1.3038e+09;0.297786;0.705971
1.30511e+09;0.301469;0.690408
1.30641e+09;0.303613;0.67361
1.30771e+09;0.304983;0.656196
1.30901e+09;0.30508;0.638018
1.31031e+09;0.303286;0.619667
1.31161e+09;0.300338;0.600191
1.31291e+09;0.295539;0.581057
1.31421e+09;0.288741;0.560847
1.31552e+09;0.279769;0.541843
1.31682e+09;0.268315;0.52266
1.31812e+09;0.254692;0.504206
1.31942e+09;0.239332;0.486529
1.32072e+09;0.220764;0.470906
1.32202e+09;0.200767;0.456695
1.32332e+09;0.177893;0.445158
1.32462e+09;0.154174;0.436317
1.32593e+09;0.129074;0.430892
1.32723e+09;0.103289;0.42886
1.32853e+09;0.0766886;0.430018
1.32983e+09;0.0518995;0.434098
1.33113e+09;0.0269485;0.4415
1.33243e+09;0.00425792;0.452364
1.33373e+09;-0.0167397;0.465734
1.33504e+09;-0.0352149;0.481227
1.33634e+09;-0.0515977;0.499064
1.33764e+09;-0.0651938;0.51783
1.33894e+09;-0.0758214;0.537199
1.34024e+09;-0.0843693;0.557373
1.34154e+09;-0.0899877;0.577305
1.34284e+09;-0.0932789;0.597324
1.34414e+09;-0.0949804;0.616948
1.34545e+09;-0.0946044;0.635937
1.34675e+09;-0.0924209;0.65384
1.34805e+09;-0.0887364;0.671044
1.34935e+09;-0.0836774;0.687207
1.35065e+09;-0.077619;0.702617
1.35195e+09;-0.0704534;0.716788
1.35325e+09;-0.0627718;0.729945
1.35455e+09;-0.0540022;0.742237
1.35586e+09;-0.0451536;0.753503
1.35716e+09;-0.0357709;0.763989
1.35846e+09;-0.0260238;0.773658
1.35976e+09;-0.0159038;0.782399
1.36106e+09;-0.00570605;0.790407
1.36236e+09;0.00487142;0.797637
1.36366e+09;0.0153769;0.804239
1.36496e+09;0.0260411;0.810171
1.36627e+09;0.0367806;0.815608
1.36757e+09;0.0475397;0.820406
1.36887e+09;0.0583452;0.824722
1.37017e+09;0.0691666;0.828494
1.37147e+09;0.0799311;0.831784
1.37277e+09;0.0906509;0.83465
1.37407e+09;0.101345;0.837075
1.37538e+09;0.112044;0.839163
1.37668e+09;0.122614;0.840811
1.37798e+09;0.133216;0.842115
1.37928e+09;0.143731;0.843114
1.38058e+09;0.154199;0.843676
1.38188e+09;0.164565;0.844017
1.38318e+09;0.174841;0.843951
1.38448e+09;0.184998;0.843681
1.38579e+09;0.195134;0.843124
1.38709e+09;0.205094;0.842374
1.38839e+09;0.215026;0.841397
1.38969e+09;0.224854;0.840145
1.39099e+09;0.234654;0.838737
1.39229e+09;0.244427;0.837058
1.39359e+09;0.254112;0.835227
1.39489e+09;0.263703;0.833204
1.3962e+09;0.273217;0.830936
1.3975e+09;0.282661;0.828471
1.3988e+09;0.292054;0.825874
1.4001e+09;0.301384;0.823088
1.4014e+09;0.310674;0.820166
1.4027e+09;0.319859;0.81705
1.404e+09;0.329042;0.813812
1.40531e+09;0.33817;0.81033
1.40661e+09;0.347259;0.806726
1.40791e+09;0.35633;0.802927
1.40921e+09;0.365288;0.799094
1.41051e+09;0.374243;0.79498
1.41181e+09;0.383172;0.790684
1.41311e+09;0.392007;0.786252
1.41441e+09;0.400763;0.781671
1.41572e+09;0.409485;0.7769
1.41702e+09;0.418163;0.771968
1.41832e+09;0.426774;0.766939
1.41962e+09;0.43532;0.761703
1.42092e+09;0.44384;0.756311
1.42222e+09;0.452338;0.750766
1.42352e+09;0.4607;0.745076
1.42482e+09;0.46908;0.739246
1.42613e+09;0.477381;0.733192
1.42743e+09;0.485607;0.727011
1.42873e+09;0.49374;0.720671
1.43003e+09;0.501872;0.714215
1.43133e+09;0.509915;0.707442
1.43263e+09;0.517817;0.700712
1.43393e+09;0.525632;0.693763
1.43524e+09;0.533512;0.686681
1.43654e+09;0.541258;0.679431
1.43784e+09;0.548926;0.671963
1.43914e+09;0.556591;0.664367
1.44044e+09;0.564072;0.656652
1.44174e+09;0.571586;0.64873
1.44304e+09;0.578868;0.640426
1.44434e+09;0.586236;0.632338
1.44565e+09;0.593401;0.623789
1.44695e+09;0.600565;0.615203
1.44825e+09;0.607582;0.606513
1.44955e+09;0.614391;0.597472
1.45085e+09;0.621251;0.588403
1.45215e+09;0.627914;0.579241
1.45345e+09;0.634513;0.569742
1.45475e+09;0.640944;0.560123
1.45606e+09;0.647307;0.55028
1.45736e+09;0.65339;0.540273
1.45866e+09;0.659603;0.530061
1.45996e+09;0.665459;0.519794
1.46126e+09;0.671245;0.509369
1.46256e+09;0.676903;0.498639
1.46386e+09;0.682535;0.48768
1.46517e+09;0.687796;0.476663
1.46647e+09;0.692815;0.46539
1.46777e+09;0.697811;0.453947
1.46907e+09;0.702566;0.442636
1.47037e+09;0.707247;0.431086
1.47167e+09;0.711628;0.419293
1.47297e+09;0.715971;0.407204
1.47427e+09;0.719965;0.395327
1.47558e+09;0.723913;0.382713
1.47688e+09;0.727379;0.370438
1.47818e+09;0.730754;0.357695
1.47948e+09;0.733571;0.345076
1.48078e+09;0.73685;0.332124
1.48208e+09;0.739393;0.319171
1.48338e+09;0.741927;0.305985
1.48468e+09;0.744219;0.292918
1.48599e+09;0.746111;0.279485
1.48729e+09;0.747894;0.265923
1.48859e+09;0.749544;0.252393
1.48989e+09;0.750593;0.238461
1.49119e+09;0.751782;0.224525
1.49249e+09;0.752402;0.210492
1.49379e+09;0.752651;0.19648
1.4951e+09;0.752719;0.182212
1.4964e+09;0.752499;0.167848
1.4977e+09;0.75177;0.15326
1.499e+09;0.750933;0.138909
1.5003e+09;0.749572;0.124101
1.5016e+09;0.747725;0.109661
1.5029e+09;0.74595;0.0949754
1.5042e+09;0.743438;0.0802234
1.50551e+09;0.740723;0.0654199
1.50681e+09;0.737341;0.0507058
1.50811e+09;0.734284;0.0360885
1.50941e+09;0.730249;0.0213546
1.51071e+09;0.725586;0.00649787
1.51201e+09;0.720599;-0.00849339
1.51331e+09;0.715931;-0.022835
1.51461e+09;0.710578;-0.0373013
1.51592e+09;0.703742;-0.0520198
1.51722e+09;0.697553;-0.0667974
1.51852e+09;0.690829;-0.0806731
1.51982e+09;0.683181;-0.0948261
1.52112e+09;0.675278;-0.108369
1.52242e+09;0.667342;-0.122068
1.52372e+09;0.658875;-0.135883
1.52503e+09;0.650343;-0.148716
1.52633e+09;0.640484;-0.162414
1.52763e+09;0.631057;-0.174998
1.52893e+09;0.620834;-0.187923
1.53023e+09;0.609974;-0.199546
1.53153e+09;0.598772;-0.211538
1.53283e+09;0.58727;-0.223452
1.53413e+09;0.575893;-0.233978
1.53544e+09;0.563412;-0.244959
1.53674e+09;0.551051;-0.255096
1.53804e+09;0.537996;-0.265644
1.53934e+09;0.525324;-0.274488
1.54064e+09;0.511716;-0.28331
1.54194e+09;0.498599;-0.291948
1.54324e+09;0.484286;-0.300014
1.54454e+09;0.469972;-0.307441
1.54585e+09;0.456469;-0.314223
1.54715e+09;0.442167;-0.320851
1.54845e+09;0.427691;-0.326468
1.54975e+09;0.413658;-0.33232
1.55105e+09;0.39879;-0.3371
1.55235e+09;0.384195;-0.341511
1.55365e+09;0.3693;-0.344898
1.55495e+09;0.355176;-0.348117
1.55626e+09;0.340055;-0.350573
1.55756e+09;0.326637;-0.353276
1.55886e+09;0.31128;-0.355053
1.56016e+09;0.297061;-0.355867
1.56146e+09;0.282299;-0.356829
1.56276e+09;0.268436;-0.356472
1.56406e+09;0.254053;-0.35638
1.56537e+09;0.241122;-0.355515
1.56667e+09;0.227785;-0.353917
1.56797e+09;0.214603;-0.35251
1.56927e+09;0.201694;-0.350933
1.57057e+09;0.189309;-0.348441
1.57187e+09;0.176546;-0.345364
1.57317e+09;0.164135;-0.342226
1.57447e+09;0.152276;-0.338087
1.57578e+09;0.140609;-0.334852
1.57708e+09;0.129098;-0.330363
1.57838e+09;0.118556;-0.32563
1.57968e+09;0.107478;-0.320604
1.58098e+09;0.0974282;-0.31475
1.58228e+09;0.0874117;-0.309168
1.58358e+09;0.0782804;-0.303249
1.58488e+09;0.06989;-0.29721
1.58619e+09;0.0613841;-0.29049
1.58749e+09;0.0535819;-0.284135
1.58879e+09;0.0460406;-0.278097
1.59009e+09;0.0392292;-0.271563
1.59139e+09;0.0324403;-0.26527
1.59269e+09;0.0259966;-0.25867
1.59399e+09;0.0194927;-0.251507
1.5953e+09;0.0139751;-0.244891
1.5966e+09;0.00874211;-0.23787
1.5979e+09;0.00395864;-0.230538
1.5992e+09;-0.000161262;-0.223682
1.6005e+09;-0.00384974;-0.217051
1.6018e+09;-0.00760437;-0.209475
1.6031e+09;-0.0105011;-0.202282
1.6044e+09;-0.013072;-0.195611
1.60571e+09;-0.0145709;-0.188679
1.60701e+09;-0.0155883;-0.183268
1.60831e+09;-0.0163739;-0.177135
1.60961e+09;-0.017331;-0.172043
1.61091e+09;-0.0180932;-0.166944
1.61221e+09;-0.0184592;-0.162577
1.61351e+09;-0.0188714;-0.158078
1.61481e+09;-0.0190613;-0.153982
1.61612e+09;-0.019285;-0.150151
1.61742e+09;-0.019843;-0.146957
1.61872e+09;-0.0202896;-0.142952
1.62002e+09;-0.0203778;-0.139792
1.62132e+09;-0.0207773;-0.136634
1.62262e+09;-0.0207143;-0.133571
1.62392e+09;-0.020548;-0.130823
1.62523e+09;-0.0203998;-0.128075
1.62653e+09;-0.02016;-0.12572
1.62783e+09;-0.0206147;-0.123407
1.62913e+09;-0.0206494;-0.12128
1.63043e+09;-0.0205265;-0.119508
1.63173e+09;-0.020597;-0.117197
1.63303e+09;-0.02085;-0.115567
1.63433e+09;-0.0202867;-0.113394
1.63564e+09;-0.0201522;-0.11167
1.63694e+09;-0.0205419;-0.109992
1.63824e+09;-0.0198464;-0.10852
1.63954e+09;-0.0193419;-0.106643
1.64084e+09;-0.0186855;-0.105621
1.64214e+09;-0.0178882;-0.104762
1.64344e+09;-0.0173673;-0.10388
1.64474e+09;-0.0167051;-0.103795
1.64605e+09;-0.016405;-0.103755
1.64735e+09;-0.0164455;-0.103601
1.64865e+09;-0.016195;-0.103695
1.64995e+09;-0.0161021;-0.103738
1.65125e+09;-0.016371;-0.104189
